Citation,Venue,Year,Main_Finding,Uses_Single_Layer,Studies_Cross_Layer_Interactions,Relationship_to_My_Work,Discussion_Mapping,Source_URL
Rives et al.,PNAS,2021,"Scaling masked-LM pretraining (ESM-1) to 250M sequences causes secondary structure, contacts, and function to emerge in learned representations; properties surveyed layer-by-layer.",Y,N,"Establishes that ESM layers carry emergent biological signal — my work asks how these layer-localized signals are jointly recombined into mutation-effect representations, not merely localized.",D1,https://www.pnas.org/doi/10.1073/pnas.2016239118
Lin et al. (ESM-2 / ESMFold),Science,2023,"Scaling ESM-2 up to 15B parameters causes atomic-level structural information to emerge, enabling single-sequence structure prediction with ESMFold.",Y,N,"Demonstrates structure can be recovered from a final-layer representation alone — my work shows mutation-effect signal is, by contrast, distributed across pairs of layers rather than concentrated in any single layer.",D1,https://www.science.org/doi/10.1126/science.ade2574
Elnaggar et al. (ProtTrans),IEEE TPAMI,2022,"Trains six large autoencoder / auto-regressive PLMs on UniRef/BFD and probes per-layer embeddings for secondary structure, localization, and membrane prediction.",Y,N,"Provides a per-layer (not per-pair) probing protocol — my analysis extends this from a one-axis (layer index) view to a two-axis (layer pair) view.",D1,https://arxiv.org/abs/2007.06225
Rao et al. (MSA Transformer),ICML,2021,"Row/column attention over MSAs achieves SOTA unsupervised contact prediction via tied row-attention.",Y,N,"Cross-position (not cross-layer) attention is the inductive bias — my work studies cross-LAYER, not cross-residue, interactions for mutation effects.",D1,https://proceedings.mlr.press/v139/rao21a.html
"Detlefsen, Hauberg, Boomsma",Nature Communications,2022,"Shows that representation geometry across PLM layers strongly affects interpretability and downstream transfer; the 'best layer' depends on task and architecture.",N,N,"Highlights the inadequacy of any single 'best layer' baseline — my work generalizes from 'best layer' to 'best layer pair', revealing structure that cannot be observed by per-layer probing.",D1,https://www.nature.com/articles/s41467-022-29443-w
Vig et al. (BERTology Meets Biology),ICLR,2021,"Attention heads in protein Transformers track 3D contacts and binding sites; higher-level biophysical properties are tracked by deeper-layer heads.",N,N,"Provides depth-stratified interpretation of a SINGLE LM by inspecting heads layer-by-layer — my work extends this depth view to a layer-pair view focused on mutation-effect encoding.",D2,https://arxiv.org/abs/2006.15222
Rao et al. (Transformer PLMs are unsupervised structure learners),ICLR,2021,"A sparse logistic regression over attention heads pooled across ALL ESM layers extracts SOTA unsupervised residue–residue contacts.",N,Y,"Methodologically closest existing approach to multi-layer fusion in PLMs — but for residue contacts, not mutation effects; my work shows that mutation-effect signal requires a structurally similar yet biologically distinct multi-layer combination.",D2,https://iclr.cc/virtual/2021/poster/3016
Rao et al. (TAPE),NeurIPS,2019,"Releases a 5-task PLM benchmark and probes recurrent/convolutional/Transformer models per task using per-task best-layer features.",Y,N,"Codifies the single-layer probing protocol that my work challenges; my findings imply per-task benchmarks may understate signal carried in layer pairs.",D2,https://proceedings.neurips.cc/paper/2019/hash/37f65c068b7723cd7809ee2d31d7861c-Abstract.html
"Simon & Zou (InterPLM)",Nature Methods,2025,"Sparse autoencoders trained per-layer on ESM-2 expose thousands of interpretable, layer-localized biological features (binding sites, motifs, disordered regions) and superposition.",N,N,"SAE features are extracted separately within each layer — my work asks the complementary question of how features in different layers interact to encode mutation effects.",D2,https://www.nature.com/articles/s41592-025-02836-7
Hayes et al. (ESM3),Science,2025,"Multimodal generative PLM that jointly tokenizes sequence, structure, and function, enabling prompted generation of novel functional proteins (incl. distant GFP variants).",Y,N,"Scale-up and generative angle on the same backbone family; my work focuses on the INTERPRETATION of an earlier, fully analyzable variant (ESM-2) — they are orthogonal aims.",D2,https://www.science.org/doi/10.1126/science.ads0018
Meier et al. (ESM-1v),NeurIPS,2021,"ESM-1v's FINAL-layer masked-marginal log-likelihood achieves SOTA zero-shot mutation-effect prediction with no family-specific training.",Y,N,"The canonical 'final layer = mutation score' approach — my work re-examines this assumption and shows the signal is distributed across layer pairs rather than concentrated at layer 33.",D3,https://proceedings.neurips.cc/paper/2021/hash/f51338d736f95dd42427296047067694-Abstract.html
Notin et al. (Tranception),ICML,2022,"Autoregressive PLM with grouped multi-scale conv attention and inference-time MSA retrieval achieves SOTA fitness prediction, incl. indels and shallow MSAs.",Y,N,"Uses a single output-layer score — my work is not a competing predictor but a representational analysis of where in the network mutation information lives.",D3,https://proceedings.mlr.press/v162/notin22a.html
Notin et al. (ProteinGym),NeurIPS D&B,2023,"Releases >250 DMS assays plus clinical benchmark; standardizes zero/few-shot evaluation of dozens of PLM/MSA baselines.",Y,N,"Provides the DMS datasets I use, but treats them as a prediction benchmark — my work uses them as encoding-analysis substrates rather than a leaderboard.",D3,https://openreview.net/forum?id=URoZHqAohf
Frazer et al. (EVE),Nature,2021,"VAE trained on family MSAs classifies pathogenicity of human variants on par with high-throughput experiments; labels >256k VUS.",Y,N,"MSA-based, not a Transformer PLM — included as a non-PLM mutation-effect anchor; my work targets the layer-organization question that is specific to deep Transformers.",D3,https://www.nature.com/articles/s41586-021-04043-8
Brandes et al.,Nature Genetics,2023,"Uses ESM-1b's last-layer log-likelihood to score all ~450M human missense variants, outperforming prior tools on ClinVar/HGMD and 28 DMS datasets.",Y,N,"Closely related ESM-family backbone (ESM-1b in their work; ESM-2 in ours) and same DMS evaluations — my work asks not how well its final layer scores variants, but how mutation information is organized across all 33 layers.",D3,https://www.nature.com/articles/s41588-023-01465-0
Hsu et al.,Nature Biotechnology,2022,"Simple ridge regression combining evolutionary density-model scores with assay labels outperforms more complex low-N protein fitness predictors.",Y,N,"Emphasizes that linear combinations of compact representations can match deep predictors — supporting (rather than contradicting) the view that mutation-effect signal is geometrically simple and recoverable from layer combinations.",D3,https://www.nature.com/articles/s41587-021-01146-5
"Tenney, Das & Pavlick (BERT Rediscovers)",ACL,2019,"A scalar-mix probe over all BERT layers shows POS → parsing → NER → SRL → coreference are localized in that order, with feedback between layers.",N,Y,"Methodologically the closest non-PLM analog to my work: explicit multi-layer attribution. Inspires the framing of 'where along the depth axis is information localized, and across which layer pairs is it integrated?'",D4,https://aclanthology.org/P19-1452/
